date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-07-28,936.414671,936.414671,917.4178997988276,927.0186767578124,12897848,15761.5498,15767.5,15513.4502,15709.40039,318600,-0.00858878998382051,-0.0023528991950197975
2021-07-29,934.5946824013536,943.8769425785124,929.7715466212894,934.253418,13765738,15762.7002,15817.34961,15737.7998,15778.4502,401600,0.007804310121874325,0.004395445292994848
2021-07-30,936.4147387774316,940.9421040230186,924.1748936428288,926.0859985351562,11350608,15800.59961,15862.7998,15744.84961,15763.0498,400000,-0.008742188476364543,-0.0009760400929615942
2021-08-02,934.7312977266258,946.1520730211324,928.7478864764136,943.0125122070312,10925104,15874.90039,15892.90039,15834.65039,15885.15039,244800,0.018277474984665254,0.007746000396446018
2021-08-03,950.9750871922384,951.4300863540562,939.235795896344,949.9512939453124,11817299,15951.5498,16146.90039,15914.34961,16130.75,341300,0.0073581014551351576,0.015460955922369513
2021-08-04,952.9771655453944,961.8954143261994,949.6100753022612,957.2315673828124,13169800,16195.25,16290.2002,16176.15039,16258.7998,427300,0.007663838645099119,0.007938242177208066
2021-08-05,962.0318984025092,980.4598768953388,957.4590392491626,971.1094360351562,21252078,16288.9502,16349.4502,16210.2998,16294.59961,418200,0.014497922054835355,0.0022018728590285086
2021-08-06,969.1528000617284,976.8880266,945.856192777068,950.5428466796876,16620987,16304.40039,16336.75,16223.2998,16238.2002,320100,-0.02117844662228585,-0.003461233252113005
2021-08-09,946.8800509816786,950.8841763192498,940.282352,945.1282348632812,7494143,16281.34961,16320.75,16179.0498,16258.25,240500,-0.0056963363990586435,0.0012347304352116062
2021-08-10,947.3350273362742,961.4404233933778,943.5811787,950.0878295898438,11919198,16274.7998,16359.25,16202.25,16280.09961,288000,0.005247536306308698,0.0013439090923068608
2021-08-11,954.1374592617028,964.6254885296094,947.9720727670094,963.3969727,9184963,16327.2998,16338.75,16162.5498,16282.25,277900,0.014008329225627225,0.0001320870296568355
2021-08-12,966.8550623942888,967.4466034758628,957.800331624984,960.3029174804688,8137612,16303.65039,16375.5,16286.90039,16364.40039,280200,-0.0032116098630244894,0.005045395445961054
2021-08-13,963.3969420853272,978.2303606065248,959.5975996548036,976.2965087890624,12780901,16385.69922,16543.59961,16376.2998,16529.09961,321900,0.016654735727092973,0.010064482417617038
2021-08-16,977.9801057,1002.3914951366928,968.3338340297282,988.9686279296876,21935444,16518.40039,16589.40039,16480.75,16563.05078,254000,0.012979785369040098,0.00205402416350986
2021-08-17,986.8527849435736,994.2921805714813,977.2975018360072,984.7597045898438,12658169,16545.25,16628.55078,16495.40039,16614.59961,297400,-0.004255871441195103,0.003112278690966974
